track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
4NlnpZPi5Z3r1uuyRglUhO,Needed Me,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,48i37aZTC1prDr4EcpQeEa,191600,28-01-2016,58,0.671,0.314,5,-8.091,0,0.244,0.11,0,0.0825,0.296,110.898,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
6gU9OKjOE7ghfEd55oRO57,The Weekend,7tYKF4w9nC0nq9CsPZTHyP,SZA,76290XdXVF9rPzGdNRWdCh,272186,09-06-2017,75,0.4,0.366,8,-9.405,0,0.0597,0.242,0,0.126,0.161,73.313,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
4mL59LVbKgOpEACxraGYdr,While We're Young,5ZS223C6JyBfXasXxrRqOk,Jhené Aiko,7CAAClnSiXdMibPT1oyl4k,236160,22-09-2017,73,0.649,0.791,2,-6.013,1,0.193,0.104,1.97E-06,0.108,0.811,128.023,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
43PuMrRfbyyuz4QpZ3oAwN,Exchange,2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,6eZdwrhB97A3EYx9QppGfl,194613,02-10-2015,79,0.525,0.433,6,-10.598,1,0.185,0.107,0,0.135,0.276,160.108,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
6wN4nT2qy3MQc098yL3Eu9,Deuces (feat. Tyga & Kevin McCall),7bXgB6jMjp9ATFy66eO08Z,Chris Brown,6df0qvkMXoyHGt9J8cujZb,276560,22-03-2011,70,0.692,0.736,1,-5.109,1,0.11,0.0324,0,0.0787,0.217,73.987,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
6CTWathupIiDs7U4InHnDA,Trip,7HkdQ0gt53LP4zmHsL0nap,Ella Mai,67ErXRS9s9pVG8JmFbrdJ0,213993,12-10-2018,75,0.477,0.61,11,-5.628,0,0.144,0.225,0,0.107,0.358,79.882,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
5ctk3VJoHoURSiwkCJn2bf,How Many Drinks?,360IAlyVv4PCEVjgyMZrxK,Miguel,21XMv0TCsnhWPt7MNVvkzD,272986,28-09-2012,62,0.379,0.608,0,-7.011,0,0.134,0.00311,0.000614,0.248,0.241,81.822,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
1RMJOxR6GRPsBHL8qeC2ux,Best Part (feat. H.E.R.),20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,3xybjP7r2VsWzwvDQipdM0,209831,25-08-2017,78,0.524,0.364,7,-10.209,1,0.0367,0.808,0,0.1,0.436,75.24,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
4at3d5QWnlibMVN75ECDrp,Pretty Little Fears (feat. J. Cole),4IVAbR2w4JJNJDDRFP3E83,6LACK,3fc97ZWLIMc1xawhxbKrh2,240341,14-09-2018,76,0.61,0.458,9,-11.336,1,0.36,0.696,0.000103,0.0852,0.246,192.099,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
5rgrBsAFYMun6yhtnLKRPz,Right My Wrongs,2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,6eZdwrhB97A3EYx9QppGfl,249320,02-10-2015,75,0.543,0.449,1,-8.065,1,0.0463,0.345,0,0.157,0.29,132.609,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
1cAL4sFzXXRMbpZnTPa7Zi,Distraction,0cGUm45nv7Z6M6qdXYQGTX,Kehlani,32jei6omhyLZDCg8Ijvoym,235693,27-01-2017,53,0.66,0.698,5,-6.266,0,0.0467,0.0266,0,0.296,0.396,120.959,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
1cAL4sFzXXRMbpZnTPa7Zi,Distraction,0cGUm45nv7Z6M6qdXYQGTX,Kehlani,32jei6omhyLZDCg8Ijvoym,235693,27-01-2017,53,0.66,0.698,5,-6.266,0,0.0467,0.0266,0,0.296,0.396,120.959,37i9dQZF1DWTUHzPOW6Jl7,Energy Booster: R&B
7ewfvLrlI0VNht4vEnoTMh,No Love,19Fi1Rj7kk8kyiwxpXy3yM,August Alsina,7ghSWpMQsrdOH8icfRKsk9,276080,05-08-2014,69,0.462,0.615,0,-7.982,0,0.153,0.00543,0,0.856,0.344,130.967,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
08zJpaUQVi9FrKv2e32Bah,Planez,3KV3p5EY4AvKxOlhGHORLg,Jeremih,7DMyQuDPe8xzjC0UDSDa96,240320,04-12-2015,73,0.688,0.556,6,-7.738,1,0.264,0.7,1.87E-06,0.108,0.416,129.336,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
1wZqJM5FGDEl3FjHDxDyQd,Come and See Me (feat. Drake),2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,2FXGUAESmG5l9YPrzWPvHI,235477,12-08-2016,74,0.717,0.347,11,-10.265,0,0.0636,0.0511,2.43E-06,0.087,0.0589,84.987,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
25cUhiAod71TIQSNicOaW3,Adorn,360IAlyVv4PCEVjgyMZrxK,Miguel,21XMv0TCsnhWPt7MNVvkzD,193146,28-09-2012,69,0.625,0.576,11,-5.693,0,0.175,0.0543,4.07E-05,0.187,0.235,179.063,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
