"danceability","energy","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","genre","popularity","target"
0.468,0.532,0.6879,1,0.0572,0.588,2e-04,0.835,0.316,0.4503,0.0484,4,3,53,1
0.822,0.332,0.7148,1,0.0506,0.834,0,0.11,0.834,0.459,0.0298,4,1,61,1
0.62,0.406,0.7327,1,0.0281,0.722,0,0.114,0.695,0.4204,0.0317,4,2,49,1
0.465,0.408,0.7451,1,0.0319,0.0733,0.0023,0.214,0.355,0.6478,0.0448,3,2,71,1
0.553,0.538,0.66,1,0.0438,0.251,0,0.044,0.753,0.5232,0.0219,4,2,56,1
0.374,0.289,0.6215,1,0.0317,0.339,0.0031,0.153,0.337,0.3007,0.0328,4,1,24,1
0.605,0.632,0.8098,1,0.0639,0.639,0,0.0763,0.98,0.8001,0.0341,4,9,15,1
0.29,0.274,0.672,1,0.027,0.648,3e-04,0.205,0.521,0.737,0.0311,3,1,45,1
0.606,0.661,0.7669,1,0.0354,0.571,0,0.135,0.866,0.4966,0.0341,4,6,62,1
0.407,0.834,0.7553,1,0.208,0.0734,2e-04,0.241,0.71,0.5028,0.0458,4,9,88,1
0.484,0.4,0.7587,1,0.042,0.79,0,0.0992,0.476,0.3927,0.0419,4,9,29,0
0.405,0.173,0.674,1,0.0348,0.946,0.002,0.375,0.334,0.4659,0.0393,3,6,77,0
0.689,0.378,0.6988,0,0.0398,0.751,0,0.24,0.75,0.4381,0.0311,4,6,34,1
0.584,0.62,0.7844,1,0.0513,0.0883,0,0.187,0.857,0.5946,0.0375,4,9,52,1
0.374,0.265,0.6798,1,0.0408,0.896,0.004,0.116,0.517,0.8539,0.0335,3,6,30,0
0.466,0.416,0.7737,1,0.026,0.742,0,0.249,0.516,0.4092,0.0376,3,1,58,1
0.64,0.122,0.5026,1,0.0719,0.995,0.883,0.18,0.742,0.5979,0.0674,4,6,49,0
0.483,0.295,0.6199,1,0.0454,0.684,0,0.0911,0.651,0.2617,0.0394,4,6,70,1
0.663,0.638,0.764,1,0.0592,0.691,0,0.302,0.869,0.4949,0.0316,4,9,72,1
0.319,0.43,0.791,1,0.0481,0.755,0,0.245,0.411,0.7276,0.0412,3,1,51,1
0.558,0.524,0.7307,1,0.0339,0.109,0,0.17,0.727,0.5105,0.0417,4,9,62,1
0.446,0.79,0.7775,1,0.0954,0.163,0,0.129,0.961,0.8206,0.032,4,12,38,1
0.406,0.587,0.794,1,0.0368,0.597,0,0.19,0.58,0.5267,0.0285,4,2,58,0
0.409,0.0963,0.5986,1,0.0374,0.902,4e-04,0.107,0.15,0.3922,0.04,3,1,34,0
0.38,0.529,0.8086,1,0.0527,0.731,0,0.334,0.66,0.6339,0.0258,4,4,49,0
0.558,0.312,0.6883,1,0.0326,0.797,1e-04,0.104,0.608,0.4696,0.0382,4,12,66,0
0.605,0.636,0.7507,0,0.0278,0.742,0.841,0.141,0.874,0.4123,0.0253,4,9,49,1
0.521,0.307,0.695,1,0.0239,0.101,0,0.172,0.469,0.3675,0.0349,4,1,72,1
0.464,0.517,0.7416,1,0.0352,0.782,0,0.065,0.618,0.6236,0.026,4,2,35,1
0.482,0.698,0.8429,1,0.0648,0.644,0,0.192,0.525,0.5316,0.0371,4,1,47,1
0.31,0.279,0.6736,1,0.0308,0.815,0,0.318,0.377,0.3289,0.058,3,1,70,1
0.172,0.33,0.7289,1,0.0305,0.915,0,0.09,0.143,0.4189,0.0304,3,6,47,1
0.584,0.589,0.718,1,0.0718,0.463,0,0.069,0.842,0.7144,0.0335,4,2,44,1
0.504,0.914,0.8401,1,0.0818,0.427,1e-04,0.123,0.96,0.6626,0.0373,4,6,1,1
0.239,0.196,0.5863,1,0.032,0.299,0.867,0.0926,0.486,0.6353,0.0278,4,6,22,1
0.452,0.265,0.7066,1,0.0355,0.852,0,0.169,0.136,0.2095,0.0484,4,6,18,0
0.623,0.709,0.7441,0,0.0636,0.102,0,0.0967,0.948,0.507,0.0362,4,12,53,1
0.436,0.0695,0.557,1,0.0298,0.858,0,0.107,0.255,0.4023,0.0356,4,1,60,0
0.541,0.321,0.6573,1,0.0329,0.714,0.0034,0.101,0.549,0.5531,0.0446,4,6,70,0
0.534,0.813,0.7839,1,0.0483,0.0621,0.305,0.168,0.595,0.4875,0.0412,4,1,51,0
0.437,0.519,0.7364,1,0.0271,0.86,5e-04,0.0933,0.742,0.3341,0.0281,4,9,42,1
0.554,0.301,0.6759,1,0.0325,0.843,0.0027,0.101,0.563,0.4696,0.0383,4,12,66,0
0.39,0.122,0.6028,1,0.0363,0.895,0,0.149,0.185,0.4837,0.0391,3,3,59,1
0.254,0.209,0.6827,1,0.0306,0.782,0,0.216,0.183,0.4324,0.0412,3,5,13,1
0.602,0.684,0.778,1,0.029,0.103,0,0.175,0.961,0.5509,0.0344,4,6,68,1
0.12,0.409,0.7297,1,0.033,0.789,0.0023,0.166,0.349,0.7206,0.0419,4,3,56,1
0.423,0.462,0.7367,1,0.0351,0.802,0,0.155,0.599,0.5168,0.03,4,5,33,1
0.288,0.328,0.7354,1,0.0337,0.83,0.0062,0.297,0.117,0.4044,0.042,4,5,49,1
0.616,0.405,0.6536,1,0.0294,0.546,0,0.148,0.623,0.4241,0.0473,4,2,67,1
0.69,0.863,0.767,1,0.0497,0.247,1e-04,0.441,0.891,0.5106,0.0408,4,6,30,1
0.574,0.642,0.7413,1,0.0449,0.341,1e-04,0.477,0.944,0.3917,0.0312,4,6,53,1
0.34,0.369,0.7215,0,0.0432,0.608,0,0.1,0.195,0.3375,0.0382,4,9,18,1
0.516,0.457,0.6914,1,0.184,0.596,0,0.106,0.455,0.7205,0.0403,4,2,47,1
0.653,0.49,0.7387,1,0.0408,0.323,0,0.0832,0.963,0.4565,0.0391,4,1,78,1
0.459,0.523,0.7667,0,0.0282,0.409,0,0.412,0.655,0.5426,0.0323,4,7,59,0
0.385,0.488,0.6776,1,0.0359,0.627,0,0.322,0.294,0.4098,0.1049,3,12,47,0
0.412,0.29,0.6268,1,0.0342,0.679,0.0024,0.245,0.399,0.6125,0.0332,4,12,61,1
0.689,0.62,0.6958,1,0.0418,0.383,0,0.123,0.956,0.3399,0.0382,4,4,44,1
0.584,0.367,0.7475,0,0.0328,0.55,0,0.0818,0.588,0.4978,0.0388,4,4,63,1
0.594,0.533,0.7785,0,0.0438,0.153,0,0.172,0.729,0.3254,0.0294,4,12,53,1
0.563,0.989,0.8595,1,0.0651,0.0396,1e-04,0.144,0.953,0.3678,0.0312,4,6,72,1
0.487,0.278,0.7659,0,0.0272,0.81,0.0031,0.273,0.481,0.3402,0.0392,4,6,43,1
0.628,0.383,0.7555,1,0.0296,0.826,0,0.151,0.564,0.4133,0.0386,4,2,57,1
0.409,0.611,0.7501,1,0.0355,0.585,0,0.237,0.75,0.4447,0.0302,1,9,45,1
0.564,0.305,0.661,0,0.063,0.794,0.0983,0.152,0.571,0.4794,0.0605,4,1,43,0
0.482,0.607,0.6756,1,0.0483,0.665,0.0804,0.143,0.816,0.8367,0.0426,4,2,72,0
0.534,0.529,0.74,0,0.0328,0.903,0.0047,0.181,0.606,0.3818,0.0216,4,5,55,0
0.239,0.397,0.7307,1,0.0293,0.772,0,0.125,0.318,0.4018,0.0423,4,6,63,1
0.609,0.316,0.6827,1,0.0304,0.637,0,0.0997,0.543,0.4614,0.0326,4,9,52,1
0.491,0.212,0.7316,1,0.0281,0.506,0.0013,0.0563,0.302,0.3379,0.0427,4,2,31,1
0.256,0.346,0.8018,1,0.0346,0.846,0,0.392,0.369,0.4775,0.0361,4,1,37,1
0.5,0.145,0.662,0,0.03,0.921,0,0.0857,0.197,0.4337,0.0387,4,3,80,1
0.612,0.295,0.7872,1,0.0364,0.837,2e-04,0.0988,0.275,0.5522,0.0348,3,6,42,0
0.421,0.345,0.643,1,0.0413,0.823,0.578,0.335,0.313,0.4706,0.0564,4,6,4,0
0.386,0.607,0.7841,1,0.0261,0.0112,0,0.088,0.532,0.6097,0.0988,4,6,88,1
0.466,0.564,0.7651,1,0.0277,0.488,0,0.193,0.502,0.3194,0.0369,3,1,61,1
0.546,0.121,0.5471,1,0.0343,0.966,0.011,0.101,0.144,0.5266,0.0553,3,5,65,0
0.434,0.444,0.7731,1,0.029,0.646,0,0.143,0.481,0.3378,0.0493,4,1,58,0
0.515,0.572,0.7669,1,0.0261,0.0598,0.0508,0.0846,0.778,0.5586,0.0653,4,3,4,1
0.366,0.626,0.7906,1,0.0341,0.457,0.0105,0.18,0.394,0.4168,0.0354,4,4,32,1
0.351,0.287,0.6362,0,0.032,0.669,0.0027,0.361,0.261,0.5896,0.0788,4,11,51,0
